type,name,value,unit,error,min,max,frozen,is_norm,link,prior,physical_value
,log10_k,-2.8747e+00,,5.160e-03,-1.000e+01,1.000e+01,False,False,,,0.0013345426558702088
,p1,1.0047e+00,,1.991e-03,1.000e+00,5.000e+00,False,False,,,1.0046722551049128
,p2,4.9088e+00,,5.089e-03,1.000e+00,5.000e+00,False,False,,,4.90877340053333
,log10_gamma_b,2.9632e+00,,1.546e-03,2.000e+00,6.000e+00,False,False,,,918.7409232025936
,log10_gamma_min,2.0000e+00,,0.000e+00,0.000e+00,4.000e+00,True,False,,,100.0
,log10_gamma_max,4.9542e+00,,0.000e+00,4.000e+00,8.000e+00,True,False,,,90000.00000000007
,z,6.8200e-01,,0.000e+00,1.000e-03,1.000e+01,True,False,,,0.682
,delta_D,1.5763e+01,,1.883e-02,1.000e+00,1.000e+02,False,False,,,15.76345359653762
,log10_B,1.4201e+00,,2.033e-03,-4.000e+00,2.000e+00,False,False,,,26.311654409517544
,t_var,3.2400e+04,s,0.000e+00,1.000e+01,3.142e+07,True,False,,,32400.000000000004
,mu_s,9.9904e-01,,0.000e+00,0.000e+00,1.000e+00,True,False,,,0.9990400249795027
,log10_r,1.8000e+01,,0.000e+00,1.600e+01,2.200e+01,True,False,,,1e+18
,log10_L_disk,4.6301e+01,,0.000e+00,4.200e+01,4.800e+01,True,False,,,2.0000000000000002e+46
,M_BH,7.9536e+41,g,0.000e+00,1.000e+32,1.000e+45,True,False,,,7.953639482792203e+41
,m_dot,2.6704e+26,g s-1,0.000e+00,1.000e+24,1.000e+30,True,False,,,2.6703612026731656e+26
,R_in,3.5439e+14,cm,0.000e+00,1.000e+12,1.000e+16,True,False,,,354390009132029.94
,R_out,5.9065e+16,cm,0.000e+00,1.000e+12,1.000e+19,True,False,,,5.9065001522005e+16
,xi_line,1.0000e-01,,0.000e+00,0.000e+00,1.000e+00,True,False,,,0.10000000000000002
,lambda_line,1.2157e+03,Angstrom,0.000e+00,9.000e+02,7.000e+03,True,False,,,1215.67
,R_line,4.4721e+17,cm,0.000e+00,1.000e+16,1.000e+18,True,False,,,4.4721359549995795e+17
,xi_dt,1.0000e-01,,0.000e+00,0.000e+00,1.000e+00,True,False,,,0.10000000000000002
,T_dt,1.0000e+03,K,0.000e+00,1.000e+02,1.000e+04,True,False,,,1000.0
,R_dt,1.1180e+19,cm,0.000e+00,1.000e+17,1.000e+20,True,False,,,1.1180339887498949e+19
,norm,1.0000e+00,,0.000e+00,1.000e-01,1.000e+01,True,True,,,1.0
